target,num_characters,num_words,text
0,80,18,gr8 so how do you handl the victoria island traffic plu when the album due
0,19,5,who are you see
1,129,27,ever thought about live a good life with a perfect partner just txt back name and age to join the mobil commun
1,162,29,eeri nokia tone 4u rpli tone titl to 8007 eg tone dracula to 8007 titl ghost addamsfa munster exorcist twilight pobox36504w45wq 150p
1,138,33,wow the boy r back take that 2007 uk tour win vip ticket with vip club txt club to trackmarqu ltd info vipclub4u
0,92,16,then just eat a shit and wait for ur monkey face bitch u asshol
0,24,6,how much are we get
0,38,9,not sure i have the stomach for it
0,38,9,how about cloth jewelri and trip
0,33,7,want to final have lunch today
0,37,9,ani way where are you and what do
0,23,5,ok ill tell the compani
0,128,29,have a love night and when you wake up to see thi messag i hope you smile know all is as should be have a great morn
0,79,20,when you just put in the sign choos my number and the pin will show right
1,143,36,free entri in 2 a weekli comp for a chanc to win an ipod txt pod to 80182 to get entri std txt rate t c appli 08452810073 for detail
0,36,11,sri da jst nw onli i came to home
0,220,44,well there a pattern emerg of my friend tell me to drive up and come smoke with them and then tell me that i a weed them smoke too their do other thing so you see how i hesit
0,50,13,that fine i bitch at you about it later then
0,138,42,so is th gower mate which is where i am how r u man all is good in wale ill b back c u thi wk who wa the msg 4 random
0,18,6,wat r u do now
0,276,69,sir good morn hope you had a good weekend i call to let you know that i wa abl to rais lt gt from my dad he howev said he would make the rest avail by mid thi amount is still quit short and i wa hope you would help do have a good day abiola
1,122,25,hot live fantasi call now 08707500020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a nation rate call
1,160,36,not heard from u4 a while call 4 rude chat privat line 01223585334 to cum wan 2c pic of me gettin shag then text pix to 8552 2end send stop 8552 sam xxx
0,140,37,under the sea there lay a rock in the rock there is an envelop in the envelop there is a paper on the paper there are 3 word
0,47,12,ok i sent u da latest version of da project
0,170,33,u need my presnt alway bcz u cant mi love jeevithathil irulina neekunna prakasamanu sneham prakasam ennal prabha mn prabha got it dont mi me
0,25,7,ye see ya not on the dot
0,64,15,that cool princess i will cover your face in hot sticki cum
0,62,14,mani more happi return of the day i wish you happi birthday
0,88,17,dude while were makin those weirdi browni my sister made awesom cooki i took pic
0,38,9,tell rob to mack hi gf in the theater
0,97,26,how u doin babi girl hope u are okay everi time i call ure phone is off i miss u get in touch
0,156,40,yo do you know anyon lt gt or otherwis abl to buy liquor our guy flake and right now if we do get a hold of somebodi it just 4 loko all night
0,38,9,mostli sport type lyk footbl crckt
0,50,13,gosh that what a pain spose i better come then
0,61,13,thank for understand i been tri to tell sura that
0,42,12,no just send to you bec you in templ na
0,52,11,yeah imma come over caus jay want to do some drug
1,161,36,congrat 2 mobil 3g videophon r your call 09061744553 now videochat wid ur mate play java game dload polyh music nolin rentl bx420 ip4 5we 150pm
0,127,30,im fine babe aint been up 2 much tho saw scari movi yest it quit funni want 2mrw afternoon at town or mall or sumthin xx
0,40,12,k u also dont msg or repli to hi msg
1,33,8,freemsg fav xma tone repli real
0,34,7,haha okay today weekend leh
0,35,9,i have to take exam with in march 3
0,126,22,the world most happiest frnd never have the same charact dey just have the best understand of their differ
0,59,16,i home my love if your still awak love kiss
0,33,13,k k then watch some film
0,43,10,dude got a haircut now it breezi up there
1,167,33,urgent call 09066612661 from landlin your complementari 4 tenerif holiday or cash await collect sae t cs po box 3 wa14 2px 150ppm sender hol offer
0,25,9,ok lor msg me b4 u call
1,159,34,had your contract mobil 11 mnth latest motorola nokia etc all free doubl min text on orang tariff text ye for callback no to remov from record
0,42,8,somebodi should go to andro and steal ice
0,66,17,alright i head out in a few minut text me where to meet you
0,45,9,and he appar bff with carli quick now
0,99,25,8 at the latest g still there if you can scroung up some ammo and want to give the new ak a tri
1,160,35,congrat 2 mobil 3g videophon r your call 09063458130 now videochat wid ur mate play java game dload polyph music nolin rentl bx420 ip4 5we 150p
0,42,9,i not sure if it still avail though
0,25,9,draw va i dont think so
0,33,6,oh you got mani respons
0,130,34,i actual did for the first time in a while i went to bed not too long after i spoke with you woke up at how wa your night
0,160,42,yup he msg me is tat yiju then i tot it my group mate co we meet today mah i askin if ü leav earlier or wat mah co mayb ü haf to walk v far
0,59,14,hi di is yiju we meet at 7 pm at esaplanad tonight
1,152,27,custom servic announc we recent tri to make a deliveri to you but were unabl to do so pleas call 07099833605 to
0,53,9,take us out shop and mark will distract
0,12,3,26th of juli
0,43,11,i just got home babe are you still awak
1,163,29,doubl min and 1000 txt on orang tariff latest motorola sonyericsson nokia bluetooth free call mobileupd8 on 08000839402 or yhl
0,101,21,lol yep did that yesterday alreadi got my fireplac now it just anoth icon sit there for me
1,159,31,back 2 work 2morro half term over can u c me 2nite 4 some sexi passion b4 i have 2 go back chat now 09099726481 luv dena call
1,156,25,smsservic for yourinclus text credit pl goto 3qxj9 unsubscrib with stop no extra charg help 9ae
0,44,10,no but we do medic mission to nigeria
0,30,8,then we got ta do it after that
0,54,11,i think that chennai forgot to come for auction
0,122,25,great hope you are use your connect from mode men also co you can never know whi old friend can lead you to today
0,33,10,watch tv now i got new job
0,39,8,are you go to wipro interview today
1,153,25,thi msg is for your mobil content order it ha been resent as previou attempt fail due to network error queri to customersqueri
0,60,14,today am go to colleg so am not abl to atten the class
0,29,7,see i thought it all through
0,91,19,dai i download but there is onli exe file which i can onli run that exe after instal
0,123,32,excel i spent lt gt year in the air forc iraq and afghanistan i am stabl and honest do you like travel
0,27,7,sorri i din lock my keypad
0,33,8,just drop em off omw back now
0,25,3,those duck chinchilla
0,276,88,pass di to all ur contact n see wat u get red i in luv wid blue u put a smile on my face purpl u r reali hot pink u r so swt orang i thnk i lyk green i reali wana go out wid yelow i wnt u bck black i jealou of brown i miss you nw plz giv me one color
0,159,43,hi juan im come home on fri hey of cours i expect a welcom parti and lot of present ill phone u when i get back load of love nicki x x x x x x x x x
0,92,21,i am late so call you tomorrow care sweet dream u and me ummifi bye
0,31,9,ü still got lesson ü in sch
0,65,12,ü collect ur laptop then go to configur da set izzit
0,56,11,noth realli just make sure everybodi up to speed
0,48,12,he also know about lunch menu onli da i know
1,145,32,if you do your prize will go to anoth custom t c at polo ltd suit 373 london w1j 6hl pleas call back if busi
0,23,8,oh ok wat ur email
0,32,8,i need coz i never go befor
0,46,11,wah lucki man then can save money hee
0,125,32,hi darlin im missin u hope you are have a good time when are u back and what time if u can give me a call at home jess xx
0,65,15,tell dear what happen to you whi you talk to me like an alian
0,25,6,now press confer da
0,77,19,i wonder if your phone batteri went dead i had to tell you i love you babe
0,74,23,happi or sad one thing about past it no more good morn
0,148,34,live is veri simpl love is also simpl laugh is too simpl win is tooo simpl but be is veri difficult gud nte
0,89,26,jade it paul y u txt me do u rememb me from barm i want 2 talk 2 u txt me
0,44,9,i will be outsid offic take all from there
0,28,7,will be septemb by then
1,146,22,ur award a citi break and could win a summer shop spree everi wk txt store to
0,28,6,aight yo dat straight dogg
0,60,14,compliment to you wa away from the system how your side
0,53,14,that what i love to hear v see you sundayish then
0,26,6,happi new year my man
0,154,37,oh my love it soooo good to hear from you omg i miss you so much today i sorri your have problem with the provid but thank you for tming me
0,38,11,kent vale lor ü wait 4 me there ar
0,39,8,dear i am not deni your word pleas
0,32,7,what are youdo later sar xxx
1,161,36,hack chat get backdoor entri into 121 chat room at a fraction of the cost repli neo69 or call 09050280520 to subscrib 25p pm dp bcm box 8027 ldn wc1n3xx
1,37,5,08714712388 between cost 10p
0,65,15,mayb if you woke up befor fuck 3 thi would be a problem
0,22,6,oi when you gon na ring
0,28,6,aaooooright are you at work
0,25,7,alright see you in a bit
1,106,22,santa call would your littl one like a call from santa xma eve call 09058094583 to book your time
0,35,9,ok set let u noe e detail later
1,155,35,you not rcv ani more msg from the chat svc for free hardcor servic text go to 69988 if u get noth u must age verifi with yr network tri again
0,106,26,i realli sorri i wo b abl 2 do thi u can find an yr term go ok
0,99,23,hi chachi tri call u now unabl to reach u pl give me a miss cal onc u c tiz msg kanagu
