,target,num_characters,num_words,text
0,0,111,24,go until jurong point crazi avail onli in bugi n great world la e buffet cine there got amor wat
1,0,29,8,ok lar joke wif u oni
2,1,155,37,free entri in 2 a wkli comp to win fa cup final tkt 21st may text fa to 87121 to receiv entri question std txt rate t c appli 08452810075over18
3,0,49,13,u dun say so earli hor u c alreadi then say
4,0,61,15,nah i do think he goe to usf he live around here though
5,1,147,39,freemsg hey there darl it been 3 week now and no word back i like some fun you up for it still tb ok xxx std chg to send to rcv
6,0,77,18,even my brother is not like to speak with me they treat me like aid patent
7,0,160,31,as per your request mell oru minnaminungint nurungu vettam ha been set as your callertun for all caller press 9 to copi your friend callertun
8,1,157,32,winner as a valu network custom you have been select to receivea prize reward to claim call claim code kl341 valid 12 hour onli
9,1,154,31,had your mobil 11 month or more u r entitl to updat to the latest colour mobil with camera for free call the mobil updat co free on 08002986030
10,0,109,28,i gon na be home soon and i do want to talk about thi stuff anymor tonight k i cri enough today
11,1,136,31,six chanc to win cash from 100 to pound txt csh11 and send to cost 6day tsandc appli repli hl 4 info
12,1,155,32,urgent you have won a 1 week free membership in our prize jackpot txt the word claim to no 81010 t c lccltd pobox 4403ldnw1a7rw18
13,0,196,41,i been search for the right word to thank you for thi breather i promis i wont take your help for grant and will fulfil my promis you have been wonder and a bless at all time
14,0,35,10,i have a date on sunday with will
15,1,149,28,xxxmobilemovieclub to use your credit click the wap link in the next txt messag or click here http
16,0,26,9,oh k i watch here
17,0,81,22,eh u rememb how 2 spell hi name ye i did he v naughti make until i v wet
18,0,56,14,fine if the way u feel the way it gota b
19,1,155,28,england v macedonia dont miss the news txt ur nation team to 87077 eg england to 87077 tri wale scotland poboxox36504w45wq
20,0,41,9,is that serious how you spell hi name
21,0,47,13,i m go to tri for 2 month ha ha onli joke
22,0,52,13,so ü pay first lar then when is da stock comin
23,0,88,23,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch alreadi
24,0,57,13,ffffffffff alright no way i can meet up with you sooner
25,0,144,35,just forc myself to eat a slice i realli not hungri tho thi suck mark is get worri he know i sick when i turn down pizza lol
26,0,30,6,lol your alway so convinc
27,0,134,34,did you catch the bu are you fri an egg did you make a tea are you eat your mom left over dinner do you feel my love
28,0,75,22,i back amp we pack the car now i let you know if there room
29,0,64,16,ahhh work i vagu rememb that what doe it feel like lol
30,0,130,30,wait that still not all that clear were you not sure about me be sarcast or that that whi x doe want to live with us
31,0,189,48,yeah he got in at 2 and wa v apologet n had fallen out and she wa actin like spoilt child and he got caught up in that till 2 but we wo go there not do too badli cheer you
32,0,29,7,k tell me anyth about you
33,0,84,18,for fear of faint with the of all that housework you just did quick have a cuppa
34,1,158,30,thank for your subscript to rington uk your mobil will be charg pleas confirm by repli ye or no if you repli no you will not be charg
35,0,122,30,yup ok i go home look at the time then i msg ü again xuhui go to learn on 2nd may too but her lesson is at 8am
36,0,47,12,oop i let you know when my roommat done
37,0,28,8,i see the letter b on my car
38,0,27,6,anyth lor u decid
39,0,155,37,hello how you and how did saturday go i wa just text to see if you decid to do anyth tomo not that i tri to invit myself or anyth
40,0,82,20,pl go ahead with watt i just want to be sure do have a great weekend abiola
