target,num_characters,num_words,text
0,80,18,yup hey then one day on fri we can ask miwa and jiayin take leav go karaok
0,34,8,have you ever had one foot befor
0,107,29,cud u tell ppl im gona b a bit l8 co 2 buse hav gon past co they were full im still waitin 4 pete x
0,327,84,hey babe sorri i did get sooner gari can come and fix it caus he think he know what it is but he doe go as far a ptbo and he say it will cost lt gt buck i do know if it might be cheaper to find someon there we do have ani second hand machin at all right now let me know what you want to do babe
1,148,34,hi custom loyalti offer the new nokia6650 mobil from onli at txtauction txt word start to no 81151 get your now 4t ctxt tc
0,25,8,u call me alter at 11 ok
0,48,11,hey veri inconveni for your si a not huh
0,63,15,text me when you get off do call my phone have problem
0,47,12,sinc when which side ani fever ani vomitin
1,37,5,08714712388 between cost 10p
0,127,29,v nice off 2 sheffield tom 2 air my opinion on categori 2 b use 2 measur ethnic in next censu busi transcrib
0,127,30,good sleep is about rhythm the person ha to establish a rhythm that the bodi will learn and use if you want to know more
0,76,17,meet you in corpor st outsid gap you can see how my mind is work
1,183,36,forward from 21870000 hi thi is your mailbox messag sm alert you have 4 messag you have 21 match pleas call back on 09056242159 to retriev your messag and match
0,27,8,oh fine i be by tonight
0,39,10,realli good dhanush rock onc again
0,23,12,k k good studi well
0,78,18,rightio it is then well arent we all up bright and earli thi morn
1,154,31,we tri to contact you re your repli to our offer of a video handset 750 anytim network min unlimit text camcord repli or call 08000930705 now
0,38,7,dear good morn how you feel dear
0,72,20,yeah i leav in a coupl minut amp let you know when i get to mu
0,25,6,u still paint ur wall
0,80,22,dunno lei i might b eatin wif my fren if ü wan to eat then i wait 4 ü lar
1,69,14,449050000301 you have won a price to claim call 09050000301
0,97,20,do necessarili expect it to be done befor you get back though becaus i just now headin out
1,153,28,clair here am havin borin time am now alon u wan na cum over 2nite chat now 09099725823 hope 2 c u luv clair xx
1,157,32,urgent we are tri to contact today draw show that you have won a prize guarante call 09050003091 from land line claim c52 valid 12hr onli
0,77,20,dont worri 1 day veri big lambu ji vl come til then enjoy batchlor parti
0,77,18,noooooooo pleas last thing i need is stress for onc in your life be fair
0,88,22,i ju reach home i go bath first but my si use net tell u when she finish k
0,113,21,i am get threat from your sale execut shifad as i rais complaint against him it an offici messag
0,46,12,7 lor chang 2 suntec wat time u come
1,73,15,you will be receiv thi week tripl echo rington shortli enjoy it
0,66,20,we don call like lt gt time oh no give us hypertens oh
0,33,8,nope i wait in sch 4 daddi
0,41,15,i be at mu in like lt gt second
0,122,33,bill as in are there ani letter for me i m expect one from orang that isn t a bill but may still say orang on it
0,161,33,there is os call ubandu which will run without instal in hard disk you can use that os to copi the import file in system and give it to repair shop
0,158,41,buzz hey my love i think of you and hope your day goe well did you sleep in i miss you babe i long for the moment we are togeth again love smile
1,108,17,for the most sparkl shop break from 45 per person call 0121 2025050 or visit
0,62,14,oh that wa a forward messag i thought you send that to me
0,119,29,have eaten all day i sit here stare at thi juici pizza and i ca eat it these med are ruin my life
0,7,2,havent
0,38,11,kent vale lor ü wait 4 me there ar
0,19,5,where r we meet
1,153,28,500 new mobil from 2004 must go txt nokia to no 89545 collect your today from onli 2optout txtauction
1,81,13,pleas call 08712402578 immedi as there is an urgent messag wait for you
0,37,10,it wyli you in tampa or sarasota
0,46,13,ju came back fr lunch wif my si onli u leh
0,101,29,no you just get a headach tri to figur it out u can trust me to do the math i promis o
0,50,17,yeah that fine it to get in is that ok
0,82,20,sweet we may or may not go to 4u to meet carlo so gaug patti interest in that
0,100,20,anyway holla at me whenev you around becaus i need an excus to go creep on peopl in sarasota
0,32,7,did you tri make anoth butt
0,87,22,watch lor i saw a few swatch one i thk quit ard 116 but i need 2nd opinion leh
0,149,35,i know but you need to get hotel now i just got my invit but i had to apologis cali is to sweet for me to come to some english bloke weddin
0,35,9,daddi will take good care of you
0,60,14,hai priya are you right what doctor said where are you
0,49,12,i have gone into get info bt dont know what to do
0,55,16,come aftr lt decim gt now i m clean the hous
0,131,29,i am back bit long co of accid on a30 had to divert via had a brilliant weekend thank speak soon lot of love
0,9,3,yup ok
0,36,6,how long doe applebe fuck take
1,162,32,all the lastest from stereophon marley dizze racal libertin and the stroke win nookii game with flirt click themob wap bookmark or text wap to 82468
0,101,26,hi hope ur day good back from walk tabl book for half eight let me know when ur come over
0,59,15,yup but not studi surf lor i in e lazi mode today
0,297,76,i had been hope i would not have to send you thi messag my rent is due and i dont have enough for it my reserv are complet gone it a loan i need and wa hope you could her the balanc is lt gt is there a way i could get that from you till mid march when i hope to pay back
0,245,61,you are a great role model you are give so much and i realli wish each day for a miracl but god as a reason for everyth and i must say i wish i knew whi but i dont i look up to you sinc i wa young and i still do have a great day
0,37,10,hi where you you in home or calicut
0,34,10,eh den sat u book e kb liao huh
